Geography,No income,R 1 - R 400,R 401 - R 800,R 801 - R 1 600,R 1 601 - R 3 200,R 3 201 - R 6 400,R 6 401 - R 12 800,R 12 801 - R 25 600,R 25 601 - R 51 200,R 51 201 - R 102 400,R 102 401 - R 204 800,R 204 801 or more,Unspecified,Not applicable
83102010: Ward 10,30.6884772,22.1227994,4.8749303,11.0992627,11.3763139,8.6380669,5.6542615,2.1999645,1.058703,0.126103,0.0464926,0.0309204,2.0837046,0
83102011: Ward 11,36.0040994,15.9535907,2.9035658,12.9951011,7.192052,7.298882,5.6139106,3.5654497,0.6999698,0.0976169,0.0485983,0.0538411,5.5100308,2.0632917
83102012: Ward 12,30.1026179,13.2788127,3.9866597,10.1092552,8.2730621,7.4176535,5.4590849,2.4941724,0.6430474,0.1502998,0.1356865,0.0589798,5.5993552,12.2913129
83102013: Ward 13,13.2505851,37.2529377,7.9073417,15.481152,9.5212873,6.7438828,4.5607544,1.8233125,0.1871486,0.0375091,0.0382417,0,3.1958471,0
83102014: Ward 14,37.2390068,14.5230232,6.6011286,10.9350383,13.9838989,5.942216,1.7092277,0.4279723,0.0895502,0.0637909,0.0457419,0.0352698,8.4041354,0
83102015: Ward 15,47.1904978,11.35921,3.2821796,8.7299984,10.3595392,6.9444339,2.5663985,0.8375865,0.2059695,0.0262528,0.0204187,0.021291,8.4562241,0
83102016: Ward 16,46.6629675,10.2797915,3.0983334,15.3608484,7.6103181,5.8456665,3.9850324,2.4042039,0.5019713,0.1125295,0.0275809,0.0838457,4.026911,0
83102017: Ward 17,39.3003118,10.3418178,4.107553,15.0761537,10.7590598,7.2655469,4.1025002,1.9574698,0.3740529,0.0537307,0.0210376,0.0444298,5.8747913,0.7215447
83102018: Ward 18,35.3625304,0.9609533,0.9056684,4.2855694,2.8819747,6.3879857,10.2163662,15.121757,9.0444923,2.5959398,0.4497382,0.242691,11.0436477,0.5006859
83102019: Ward 19,37.2876819,6.4214878,1.9384761,6.3287221,9.8468395,10.4745864,8.1967743,6.6645445,2.3481801,0.3264307,0.1704906,0.1219624,9.6927792,0.1810444
83102020: Ward 20,35.0166037,1.440861,1.439381,4.8224482,5.5447573,8.3427743,10.27229,12.1127451,5.3530304,1.1112808,0.2945124,0.2582593,13.5125977,0.478459
83102021: Ward 21,38.9336206,2.5771664,1.5777776,4.9800376,5.1820524,6.6779616,10.2217415,12.164741,3.5102283,0.3763131,0.1804773,0.1713842,12.1030311,1.3434674
83102022: Ward 22,28.5996088,2.3439069,2.6157519,7.6528411,7.9683288,8.4520927,10.1916646,9.5776941,3.811958,0.7238341,0.4465094,0.3889839,13.242812,3.9840136
83102023: Ward 23,45.2009801,18.9361026,3.7728021,8.3871879,7.9111519,6.252724,4.3763056,1.6443173,0.3065787,0.0462337,0.0276171,0.0092057,3.1287933,0
83102024: Ward 24,33.9575592,0.8780709,0.8780181,2.9510884,4.0082111,6.6726021,10.623933,13.8602495,8.0542538,3.014914,0.5995037,0.3972329,9.7478491,4.3565141
