Geography,No income,R 1 - R 400,R 401 - R 800,R 801 - R 1 600,R 1 601 - R 3 200,R 3 201 - R 6 400,R 6 401 - R 12 800,R 12 801 - R 25 600,R 25 601 - R 51 200,R 51 201 - R 102 400,R 102 401 - R 204 800,R 204 801 or more,Unspecified,Not applicable
21001001: Ward 1,36.4820405,22.860409,3.6436993,19.7004102,4.139428,2.1993906,2.1009615,1.5772102,0.3903069,0.2075389,0.0880762,0.0804807,4.6775929,1.852455
21001002: Ward 2,26.8928704,9.1554515,3.2601199,13.2802747,5.3596782,6.2093455,5.9001458,4.3992698,1.3243387,0.2929601,0.1363421,0.0884568,8.283526,15.4172205
21001003: Ward 3,46.266585,16.1721668,3.8027647,16.9165702,6.0455061,2.5651583,1.101831,0.4389417,0.1329947,0,0.0379985,0.0569977,6.4624852,0
21001004: Ward 4,33.9074685,19.7804637,3.377737,13.2526628,4.9140331,3.2097025,3.7223102,2.4351883,0.4749246,0.053662,0.0323508,0.0425732,4.8752987,9.9216245
21001005: Ward 5,48.382239,7.5143285,5.1172821,14.0386146,7.0086916,1.998214,1.1776807,0.5049831,0.1681744,0.0373721,0.0556406,0.0369545,13.9598249,0
21001006: Ward 6,42.0423587,18.3338364,3.7704782,16.9253091,4.3708996,3.5514173,1.933233,0.6262825,0.1737154,0,0.0339466,0,8.2385232,0
21001007: Ward 7,26.6361028,14.7152227,7.1623746,22.8914306,5.995716,2.5069667,3.1251242,2.399245,0.5289981,0.3846543,0.1868473,0.1690345,6.075502,7.2227813
21002001: Ward 1,38.2268859,22.5729514,4.2155643,20.645362,5.7819401,2.1831753,1.4280705,1.0728636,0.2419755,0.1165427,0.0230184,0.0228285,3.0055383,0.4632835
21002002: Ward 2,35.6485566,17.7297682,4.4063214,12.9477885,4.7887439,3.504592,3.854996,2.767474,0.6719072,0.1126535,0.1260451,0.0623774,4.9751373,8.4036388
21002003: Ward 3,44.0164073,18.6590651,4.2846028,17.6401907,4.0315598,2.8745992,2.0995759,1.0220731,0.1704716,0,0.0496048,0.0319,5.1199498,0
21002004: Ward 4,41.5948529,16.0618886,4.3388758,19.9394463,5.0043673,1.7442462,1.3681964,1.1005073,0.2141286,0.0932874,0.1243832,0.0382119,6.4054225,1.9721857
21002005: Ward 5,41.4060325,16.6848222,3.6279007,17.1959632,6.4337535,4.4681936,3.0331617,2.0356064,0.3505398,0.0216202,0.0818578,0.0199063,4.1081241,0.5325181
21002006: Ward 6,35.5125805,19.1618397,4.7312533,22.2904387,4.345945,2.1273709,1.8584621,0.9405039,0.2463849,0.1800234,0.1326999,0.0600078,6.8023149,1.610175
21003001: Ward 1,33.5320304,10.1931175,4.8772322,19.6824576,5.0224958,3.5420013,4.2520239,1.9705873,0.1934316,0.087855,0.2109409,0,9.7498134,6.6860131
21003002: Ward 2,39.6681891,19.4531773,5.9461627,20.5132246,3.4920973,1.5596515,1.513916,0.7159906,0.2212558,0,0,0.0278104,6.8885248,0
21003003: Ward 3,28.0274094,10.3516106,10.3456581,18.470256,2.950272,2.7738783,1.4277651,0.6757019,0,0.117845,0.117845,0,24.4862349,0.2555237
21003004: Ward 4,31.8724643,9.3913406,8.9191102,22.4406547,2.3534177,1.801917,1.5485045,0.9219224,0.1499605,0.0457089,0,0,20.5549993,0
21004001: Ward 1,29.8139414,17.3564266,8.0639385,24.9028314,8.3599184,2.9016644,3.0389074,1.4705728,0.7384664,0.1873514,0.0624505,0,3.1035309,0
21004002: Ward 2,47.7094356,14.2680233,3.1264966,16.1751352,5.4812053,3.9555318,3.2569905,0.9235619,0.2807159,0.0306796,0.0628544,0.0154933,4.3756754,0.3382011
21004003: Ward 3,47.8352598,8.8880261,3.6787001,13.4632201,5.9488342,4.0367931,3.8929064,3.3601053,1.4989284,0.4410612,0.1850556,0.0852749,6.6858349,0
21004004: Ward 4,37.4588889,2.4869248,2.0082812,8.457076,6.5446403,6.5019196,7.8646431,6.6716141,2.1912582,0.6709698,0.3558483,0.2563924,4.1382864,14.3932568
21004005: Ward 5,41.6294025,23.2399856,4.4521875,16.454458,6.6855907,2.4360211,1.5577797,0.3851382,0.3367408,0,0,0,2.822696,0
21004006: Ward 6,45.2362009,16.7145877,6.0088562,12.9120503,5.47217,4.4204379,3.8931082,1.9881113,0.3329126,0.0467107,0.0941965,0.0483663,2.5773809,0.2549106
21004007: Ward 7,32.2002992,16.4921358,5.9429045,20.1332301,5.8232254,2.5969269,1.5277319,0.4252097,0.111829,0,0,0,14.7465075,0
21004008: Ward 8,29.5971258,4.0432534,1.0634181,6.0217083,5.4039305,6.0832573,7.5602931,6.9886684,1.8201113,0.3344918,0.1434212,0.1909775,4.9345244,25.8148188
21004009: Ward 9,42.7995015,17.8092525,5.3245856,16.2616422,6.0348495,2.7822414,2.6364201,1.7903357,0.2952094,0.0435721,0.0227952,0,4.199595,0
21004010: Ward 10,49.4356622,12.1839505,3.1269722,17.6268179,5.7473746,3.5190997,2.9579581,0.8538087,0.2127394,0,0.0337249,0.0174397,4.2844522,0
21004011: Ward 11,39.8702467,24.0232314,4.6376772,19.8713501,4.957535,1.7370871,1.147557,0.537884,0.2390584,0,0.032925,0,2.9454481,0
21004012: Ward 12,1.7612145,0.1765171,0.1085241,0.2539663,0.6008114,0.9435312,1.1368464,1.4014644,0.6727565,0.034155,0.034155,0.0740521,0.2419561,92.5600498
21004013: Ward 13,32.8685614,13.6495625,5.4574962,18.2773875,6.5716568,3.0943985,2.2777926,1.2199223,0.8809449,0.1420179,0.102139,0,14.7036727,0.7544477
21004014: Ward 14,35.7219222,15.4037138,4.8068961,17.1735605,9.5686863,3.6343557,2.0278461,1.5403347,0.4980316,0.2073026,0.1639265,0.1526604,3.6062168,5.4945466
21005001: Ward 1,42.6627441,24.4371907,3.9560158,18.4794121,4.1848879,1.0278852,1.1158182,0.5871628,0.0977414,0,0.058383,0.0399972,3.3527616,0
21005002: Ward 2,38.0071717,20.4843829,2.5657463,16.1581673,4.6312073,3.4866876,3.7747656,2.2686549,0.7392854,0.1157331,0.0978664,0.1001307,4.763646,2.8065548
21005003: Ward 3,40.4233397,19.7099193,6.0343308,18.2748614,5.4361258,3.7949982,2.4054464,1.2201911,0.4453263,0.1239287,0.0516995,0.05102,1.7668123,0.2620004
21005004: Ward 4,36.9176645,18.6936053,6.8219637,15.2276091,5.6783432,4.3061253,3.0434144,2.5619117,0.9854881,0.4821721,0.2751168,0.251945,4.3117884,0.4428522
21005005: Ward 5,38.5481446,22.6560408,5.1109141,17.6007367,5.3929012,2.8948926,1.6570073,1.1227794,0.261692,0.1034454,0.0701161,0.0867206,4.4312931,0.0633162
21005006: Ward 6,32.6624704,17.9800747,4.479668,21.9699377,6.4466379,3.5110838,3.5789361,2.1196267,0.688035,0.2922808,0.2291983,0.0521652,5.3335825,0.6563028
21005007: Ward 7,45.7884541,19.6710861,4.8571871,17.804767,4.9323854,1.8228096,0.5315366,0.3154035,0.1454774,0.0203828,0.0640382,0.0632698,3.9832023,0
21005008: Ward 8,40.5765678,21.7988209,4.9324241,19.1807078,7.5944548,2.8208855,0.9827719,0.4714851,0.0271729,0.0263636,0.0271729,0.0271729,1.5339997,0
21005009: Ward 9,45.1825084,15.1793008,3.9447419,18.8172003,6.0589077,2.4148567,1.1694972,0.4611961,0.1592129,0,0.0184406,0.0355606,6.4489417,0.1096351
21005010: Ward 10,19.6498767,1.1300705,0.7098909,8.0411497,5.4882244,9.3866449,12.0681037,7.5633397,3.0275318,0.778787,0.3814303,0.1801882,14.4190969,17.1756653
21006001: Ward 1,38.6088286,20.1801491,5.1351532,25.1707553,4.4858322,1.7098242,0.7007597,0.3427752,0.1653022,0,0,0,3.5006203,0
21006002: Ward 2,31.9521958,22.98665,4.4331466,17.4950082,4.9229572,2.6408344,2.2076804,0.9757222,0.271408,0.0445184,0.0445184,0.0599127,4.600875,7.3645725
21006003: Ward 3,38.2659558,20.4352845,4.337199,22.8853079,7.8254747,1.9310447,1.0989744,0.7116076,0.2485397,0.0476518,0.0145246,0.2144332,1.984002,0
21006004: Ward 4,38.20995,21.9034954,3.9551689,19.5541658,7.3997291,2.0566516,0.7802192,0.4785604,0.1585678,0.0243679,0,0.0236421,5.4554817,0
21006005: Ward 5,38.026885,17.5644304,7.0067725,24.0742423,5.3448851,1.2030572,0.3866197,0.2322499,0.1257553,0,0.0413483,0.0207343,1.8429837,4.1300364
21006006: Ward 6,37.3014216,16.5160294,5.3807816,27.5521673,7.3817347,1.6512442,1.1625085,0.6896227,0.1867998,0.0321447,0.0838853,0.0321447,2.0295154,0
21006007: Ward 7,27.2226034,13.086015,3.2035706,22.6939772,4.1032497,2.3568136,4.1117835,3.0523778,0.7990882,0.2854932,0.0710278,0.2281018,5.5810494,13.2048487
21006008: Ward 8,34.6081221,18.7916838,7.1264862,24.5565104,5.5881204,2.2649829,1.5738814,0.8069616,0.2542891,0.0593326,0.044457,0.0197775,3.7371856,0.5682094
21007001: Ward 1,24.9171091,18.3406,4.9109931,26.0772262,4.3252168,2.5929468,4.199011,2.9935244,0.9460943,0.0484562,0,0.0492206,2.5852491,8.0143524
21007002: Ward 2,34.1699608,26.6797573,5.9525255,21.0516868,3.0114992,2.1554042,2.323632,1.3792274,0.2317069,0.0390196,0.0631817,0,2.5828214,0.3595772
21007003: Ward 3,32.5820769,28.3283454,5.7839412,20.3027773,3.2929814,2.0336458,1.7057903,0.6953627,0.3318624,0.215893,0.0479762,0.0239881,3.511062,1.1442974
21007004: Ward 4,30.3078892,25.2998593,5.5368505,21.8598113,6.233784,1.9840328,2.1223152,1.7321033,0.5865838,0.2441654,0.0610414,0.1220827,1.7586927,2.1507883
21008001: Ward 1,32.5749122,17.6531857,2.5357098,21.1157761,12.8153509,3.6380593,2.2109329,2.4084766,0.9801439,0.2602812,0.0867604,0.1735208,3.5468902,0
21008002: Ward 2,38.4463204,16.3993932,3.6389325,13.2677599,8.0127285,4.1268767,3.2000046,1.3257304,0.5010942,0,0,0.0358642,11.0452955,0
21008003: Ward 3,27.863927,1.7867693,0.8165774,4.6384916,6.5947565,9.7165822,13.4925087,11.1691395,3.1518657,1.6331547,1.769251,0.1360962,17.2308803,0
21008004: Ward 4,37.4559487,23.2273619,4.4958407,14.7427225,7.1156091,3.650393,2.0820621,1.2992974,0.1164806,0.0156057,0.0315779,0.0153871,4.6415674,1.1101459
21008005: Ward 5,43.6474636,12.7049735,5.649263,11.5716886,6.9971477,3.2126245,2.4136489,1.6197699,0.2758367,0,0,0,6.4808182,5.4267653
21008006: Ward 6,39.3418165,25.3791728,5.0373165,14.2447457,7.970278,3.1388321,1.7314612,0.3799181,0.0377135,0,0.0198074,0,2.7189381,0
21008007: Ward 7,41.0495452,9.6862648,6.6922618,20.3913327,7.3370891,3.7057045,2.5287687,1.6885209,0.4166946,0.0737245,0.0195923,0.0195923,6.3165648,0.0743437
21008008: Ward 8,30.2069228,2.0942923,1.7479639,8.6175891,7.7547533,11.0382418,11.8324323,7.6248024,2.3628143,0.9115942,0.5021567,0.2639613,12.7917613,2.2507142
21008009: Ward 9,45.038235,17.0362877,4.6426149,17.9844937,3.7908253,2.3539601,1.59863,1.0842779,0.2606782,0.0222926,0.044487,0,5.9716313,0.1715864
21008010: Ward 10,34.8653698,22.4323896,3.7190261,27.2911002,3.8683913,1.5776861,0.6906226,0.4776025,0.1553712,0,0.0162228,0.0162228,4.8899947,0
21008011: Ward 11,27.9957756,1.4675102,2.8054534,7.5446965,8.094541,10.8058018,10.1572554,6.8652113,1.2388224,0.7567876,0.2254839,0.1879032,14.5054444,7.3493133
21008012: Ward 12,32.5180697,16.7617141,4.593499,13.4275775,9.5149089,5.0325766,5.1101182,3.7953456,1.9636177,0.7210378,0.1767908,0.2328724,5.9887897,0.1630821
21008013: Ward 13,28.9539422,17.7269653,5.1007672,23.8579147,3.8601928,2.0577699,2.6749495,1.6078101,0.4043439,0.0605809,0.1808825,0.1806451,5.5925907,7.7406454
21008014: Ward 14,39.6992625,10.9282547,4.2606082,13.1345789,8.6477288,6.0308383,3.992615,2.1159602,0.9066548,0.0928537,0.1094866,0.1551959,9.9259624,0
21008015: Ward 15,40.6331007,15.0965371,4.0700785,12.2845298,7.6803655,4.172023,2.8140723,1.605601,0.4311755,0.0644673,0.0757257,0.0455517,7.3794756,3.6472961
21009001: Ward 1,27.1960373,16.484897,6.1025541,37.201383,4.7296353,1.4804739,1.108736,0.8278769,0.1933302,0.0173106,0.0211056,0.0105528,4.3445974,0.28151
21009002: Ward 2,29.0667596,18.4557708,7.0342446,23.813464,6.0837909,3.5163139,3.2865631,2.0770503,0.4830484,0.0685863,0.0815879,0.0370565,5.2266438,0.7691198
21009003: Ward 3,39.7024019,16.4314305,6.0082641,23.5348629,6.2229614,2.4989021,1.566899,0.7750081,0.0411527,0.0394542,0.0204646,0,3.1581986,0
21009004: Ward 4,36.7710696,16.2519087,4.6775132,18.3311421,7.2670897,5.1170387,3.2031894,1.9054589,0.5195624,0.08123,0.0514211,0.0523055,4.3796778,1.3913929
21009005: Ward 5,32.9271546,20.9577882,3.563499,22.4443502,9.1978916,2.3499351,1.5139689,0.7486101,0.2345734,0.1260858,0.0333527,0.0307824,5.8430307,0.0289772
21009006: Ward 6,36.2754822,12.5623151,4.6522802,16.1626794,11.1744222,3.4553469,2.0725991,1.3770699,0.2758554,0.0751614,0.0600226,0,11.8567657,0
21201001: Ward 1,27.0912359,13.3150594,7.9858659,6.5625938,3.3982039,2.2875883,3.3497444,1.8666684,0.3164544,0,0,0.0627815,3.8528468,29.9109574
21201002: Ward 2,42.3299983,30.4914614,4.8222929,13.0419367,2.6474475,1.1046454,1.3127225,0.7517715,0.1924642,0.0142797,0,0.0142797,3.2767003,0
21201003: Ward 3,48.8402164,24.109571,4.8544833,14.9699173,1.9008031,0.584226,1.0876757,0.5981688,0.0490315,0,0.0171442,0.0158724,2.9728903,0
21201004: Ward 4,28.9102713,36.8064643,5.1038925,14.140723,2.3793365,1.1119571,0.7581841,0.2807141,0.0655113,0,0.0163778,0,10.426568,0
21201005: Ward 5,44.9149643,27.8556379,3.6988462,16.4579072,1.4473438,0.917689,0.9216283,0.7452275,0.1870854,0.0639368,0.012064,0.0248447,2.7528248,0
21201006: Ward 6,47.4625934,27.6724241,4.2606285,15.4121961,0.7493079,0.5170095,0.8757212,0.7813004,0.1607033,0,0.0585708,0.0144656,2.0350791,0
21201007: Ward 7,41.4565721,34.3057603,3.3880013,16.1023701,0.9052573,0.5230632,0.6141568,0.4566469,0.0673476,0,0,0.0161535,2.1646709,0
21201008: Ward 8,40.63923,33.8535384,3.7005888,13.7947579,1.131153,0.6248953,0.4817605,0.321697,0.1036178,0.0143595,0.0287189,0.0422499,3.5045734,1.7588595
21201009: Ward 9,42.0153792,19.5352717,4.8448622,9.8239413,4.0650226,2.5374707,3.4903857,1.4504898,0.1756494,0.0285254,0.0677174,0.0099205,7.1615639,4.7938003
21201010: Ward 10,47.0277067,28.1451808,3.3035643,14.2071822,1.0555004,0.8689019,1.316898,0.7724091,0.144835,0.028686,0.0433177,0.0724175,3.0134003,0
21201011: Ward 11,37.1838748,33.5377762,4.5779725,18.609472,0.8602803,0.355736,0.4586133,0.289781,0.1047389,0.0158258,0.0146518,0,3.9912773,0
21201012: Ward 12,45.8921675,32.3667142,2.9795423,13.1723004,1.9558825,0.5593775,0.4916324,0.3022219,0.0866802,0.014792,0.014792,0,2.1515595,0.0123375
21201013: Ward 13,35.0170581,25.9045559,5.6730573,14.4920345,3.1159914,1.74381,2.5345065,1.3633435,0.3233956,0.0462176,0.0295352,0.0156155,4.3387644,5.4021145
21201014: Ward 14,34.2396976,33.0725038,3.3660339,17.3399359,1.3737429,0.4769513,0.7105426,0.3278713,0.0154101,0.0315748,0.0619506,0.0303757,8.9534096,0
21201015: Ward 15,42.9542162,28.6932329,3.7945665,15.3357469,1.4020711,0.5907933,0.4385993,0.2217441,0.070322,0.0104053,0.019553,0.0296722,6.4130407,0.0260363
21201016: Ward 16,52.1953578,23.0814945,3.5447482,13.3191632,1.4252384,0.6061841,0.3567936,0.31763,0.0871081,0,0.0434432,0.0107019,5.0121372,0
21201017: Ward 17,38.0819677,40.1089436,4.0072435,12.9310537,1.7146676,0.299826,0.2766066,0.2082758,0.0772509,0,0.0124204,0,2.2817441,0
21201018: Ward 18,37.1022819,44.1760779,1.8539302,12.7469702,0.692236,0.4560786,0.435598,0.1963733,0.1609284,0,0.0354449,0,2.1440808,0
21201019: Ward 19,35.3730533,42.7801487,2.9209421,11.2455755,0.9822428,0.7795696,0.7124119,0.4422412,0.1678051,0.0287394,0.0570317,0.0822975,2.302539,2.1254021
21201020: Ward 20,37.4212964,40.6108619,2.9154518,12.1244082,1.3462554,0.5140802,0.558483,0.2477605,0.087684,0.0254339,0.0133397,0.0501342,3.9735483,0.1112625
21201021: Ward 21,42.2345893,29.9924242,2.9654958,18.8549164,0.9429522,0.7997678,0.8456641,0.5921428,0.0508921,0.0350962,0,0.0876658,2.5983932,0
21201022: Ward 22,37.9162175,36.4008944,2.3538763,18.5736324,0.6343792,0.6115576,0.7050732,0.313836,0.1168636,0,0.0153956,0,2.3582744,0
21201023: Ward 23,38.4251243,31.3956055,3.0706469,18.9055644,0.8997771,0.6687133,0.6795427,0.3590565,0.1427042,0.0127651,0.0137879,0.0510604,5.0881494,0.2875022
21201024: Ward 24,34.6857991,33.5701142,4.4445368,17.0929012,1.4045111,0.988205,0.9690067,0.5652884,0.0816347,0.0517683,0,0.0172561,6.1289784,0
21201025: Ward 25,41.1805601,22.0073444,4.0170868,13.7378842,2.5627962,2.2100341,3.5931275,1.7359918,0.2900495,0,0.0438527,0.0154756,4.5398611,4.0659359
21201026: Ward 26,40.9335309,35.7683819,2.2707935,13.5384003,1.6321321,0.5410707,0.3507288,0.4522674,0.0865448,0.0122427,0.0369745,0.0363749,4.3405575,0
21201027: Ward 27,38.8091862,29.6823903,4.6486667,18.440749,1.2709392,1.03686,1.6251712,0.7292767,0.036249,0.036249,0.0367795,0,3.6474831,0
21201028: Ward 28,38.625945,37.2556056,1.9639836,13.0834641,1.1463523,1.6051894,1.194694,0.437115,0.169741,0,0.0127882,0.0118396,1.6453847,2.8478974
21201029: Ward 29,42.8928747,28.0816796,2.2897043,16.1896024,1.134841,0.8694662,0.8866745,0.6130741,0.0344165,0,0.0185871,0.0371742,3.0606654,3.8912398
21201030: Ward 30,44.9427938,25.7217182,4.7284521,16.5691748,1.7455722,0.7147481,1.4393233,1.011661,0.1225283,0.0141272,0.0134677,0,2.9764333,0
21201031: Ward 31,39.6158501,38.4902446,4.5446208,12.9540845,0.9561887,0.4302846,0.4435613,0.2709803,0.015114,0,0,0.062565,2.2165061,0
21202001: Ward 1,38.5962943,12.5303405,3.3911932,8.920376,6.0980619,5.115985,5.9804468,5.1453733,0.9330472,0.1065564,0.1270122,0.1770106,4.6200559,8.2582468
21202002: Ward 2,39.3511497,24.6075981,5.6562673,13.0413598,6.1896705,3.1354778,3.6900083,1.2932605,0.1006705,0.0138688,0,0.029704,2.7900507,0.1009139
21202003: Ward 3,38.8813476,22.9183028,3.8658083,8.9497664,5.048361,3.588573,5.5866066,2.6839885,0.1726388,0.0439303,0.0604354,0.0745324,5.5355784,2.5901306
21202004: Ward 4,43.4510883,17.9286366,3.7613004,8.0727176,3.7132719,3.6945714,7.6900338,5.1729071,0.3350435,0.0405369,0.0694541,0.0954531,4.8345518,1.1404333
21202005: Ward 5,36.7287351,26.3131711,4.4910778,9.8633499,3.992058,2.3342753,3.1687575,2.0775428,0.5032,0.0427896,0.065517,0.0464929,4.6322111,5.7408219
21202006: Ward 6,35.551735,12.5191629,1.7065359,4.6125157,1.9576206,1.5959003,2.2506827,1.1028108,0.0827401,0,0.0191036,0.0567419,1.46971,37.0747405
21202007: Ward 7,45.5109432,26.9751653,4.0240676,12.8521412,2.7383691,1.645338,2.140875,0.9070966,0.1155002,0.0395471,0,0.0391657,2.3422476,0.6695435
21202008: Ward 8,40.3197351,33.1823882,4.5945915,15.1844943,1.7455568,1.2645224,1.2152168,0.6001097,0.016695,0.016695,0.0485263,0.0463696,1.7650995,0
21202009: Ward 9,48.3912118,24.3125223,4.2324644,14.8795231,2.3596674,1.5834823,1.894006,0.6740537,0.1003902,0.0143593,0.0581405,0.0437812,1.4563977,0
21202010: Ward 10,42.7369294,28.0734795,4.4724973,18.6418425,1.6354454,0.5182512,0.7012944,0.6569555,0.0533541,0.0171566,0.0176662,0,2.4751278,0
21202011: Ward 11,39.8870837,30.7089905,3.8166094,21.3415027,1.3651529,0.5950739,0.6169045,0.2499805,0.0151451,0,0.0144381,0.0288762,1.3602424,0
21202012: Ward 12,42.3805032,28.9285366,4.3469891,17.7659705,1.4240369,1.279544,1.4514824,0.8664152,0.1507684,0,0.0314027,0.0306522,1.3034717,0.0402271
21202013: Ward 13,38.5573719,31.660305,4.1150863,16.3194736,2.4703119,1.2814484,1.7136928,0.9719184,0.156672,0,0,0.0479192,1.6157452,1.0900553
21202014: Ward 14,37.1164493,33.5257391,3.682625,20.1445624,0.9460048,0.9340904,0.9718261,0.4833798,0.1081939,0,0,0.0149246,2.0722046,0
21202015: Ward 15,35.4077934,32.3577475,3.9774839,22.4649075,1.4629193,0.7420892,0.4172497,0.3779079,0.074161,0.0186749,0.0195894,0.0362724,2.6432039,0
21202016: Ward 16,35.3473878,34.4724365,5.1436415,18.6803835,1.672562,0.8937494,1.3561309,0.6437611,0.1978147,0,0.0153632,0,1.5767694,0
21202017: Ward 17,36.2645999,32.1827885,4.406541,18.5098796,1.3850798,1.0252435,0.9656513,0.8022724,0.0439828,0.0300653,0.045098,0.0150327,4.3112271,0.0125383
21202018: Ward 18,37.0578746,29.2859702,2.8232343,16.5757676,1.5972822,1.496374,2.4223013,1.1969227,0.1151173,0.0132779,0.0771815,0.0261801,2.1865303,5.1259859
21202019: Ward 19,40.1916396,33.0843355,3.5799288,17.1350855,1.697221,0.7599253,0.6476062,0.4957868,0.0447089,0.0151952,0.0151952,0.0299521,2.3034199,0
21202020: Ward 20,41.5791617,33.6082924,3.4293966,16.1767983,0.9409789,0.6606158,0.7193512,0.656214,0.1088356,0.0154399,0.016196,0,2.0887196,0
21202021: Ward 21,40.084069,31.8673372,5.5726242,15.6683289,1.5682605,0.8631137,1.1715528,0.7211077,0.0586626,0.0154955,0.0295443,0.0438904,2.3360133,0
21202022: Ward 22,40.0994507,31.6026321,4.6903487,17.6526475,1.3147181,0.6184046,0.8403424,0.4049329,0.1075019,0,0.0123673,0.02358,2.6330735,0
21202023: Ward 23,38.7167523,35.0055441,3.1489353,17.6880212,0.9978584,0.8069244,0.8145252,0.4155256,0.0918071,0,0.0312468,0,2.2828596,0
21202024: Ward 24,35.6722097,39.3758596,3.122425,17.3201901,1.0415304,0.5534748,0.4488166,0.1793161,0.0444981,0.0117557,0.078087,0,2.151837,0
21202025: Ward 25,36.3309798,35.2813607,3.1379416,17.1462929,1.3769798,0.8528929,1.0064367,0.2883336,0.1362416,0,0.019687,0.0098435,2.9317061,1.4813036
21202026: Ward 26,33.5969238,39.8540606,4.6517908,17.5236258,0.8357634,0.5606413,0.6320249,0.375315,0.0541685,0,0.0114302,0.0320611,1.8531275,0.0190671
21202027: Ward 27,36.6818424,33.0505308,3.2094428,17.6850152,1.2751551,0.5195383,0.2465196,0.2336024,0.0962055,0,0.0364904,0.0730862,6.2160222,0.6765491
21202028: Ward 28,20.278324,49.6834509,4.4788177,21.350043,1.0037985,0.3511019,0.3263894,0.1836658,0.0379255,0,0.0130173,0.0252837,1.9265115,0.341671
21202029: Ward 29,29.5279448,41.9492677,4.2098996,19.9416103,1.0813005,0.5084904,0.4737788,0.2202612,0.1037046,0.0128521,0.0269629,0.0128521,1.0652522,0.865823
21202030: Ward 30,26.0346194,37.4943316,5.4914728,18.5894239,1.9577409,1.2001361,1.6293734,0.7244505,0.0755885,0,0,0.0144847,1.8721519,4.9162264
21202031: Ward 31,35.9304445,36.1446095,4.0553442,19.633793,1.4145015,0.7059476,0.4854778,0.1362922,0.0237484,0,0,0.0244538,1.4346899,0.0106975
21203001: Ward 1,36.6132343,19.9906323,3.0051109,21.0009589,3.6714803,3.3314351,2.86331,2.0856693,0.6526776,0.2616249,0.0766092,0,5.7279699,0.7192874
21203002: Ward 2,40.6896431,29.8816107,1.7414681,16.4898743,1.6938384,0.8945204,0.4278941,0.1216172,0.0701914,0,0.0263583,0,7.9629841,0
21203003: Ward 3,37.6816521,24.499546,3.2777774,21.1001523,1.8805769,0.898967,0.2847611,0.2168566,0.0798746,0,0.0202609,0,1.5508472,8.5087279
21203004: Ward 4,38.5136226,29.706855,2.7690192,20.490156,0.9403407,0.6835663,0.2357767,0.0776531,0.1540324,0,0.0191785,0,6.4097994,0
21203005: Ward 5,38.3680722,27.0371126,3.6730687,19.6038942,4.9168739,1.3434447,1.2606304,0.6144971,0.2276097,0,0,0.0910385,2.8637579,0
21203006: Ward 6,33.0767543,19.7217285,7.1733587,16.8335416,5.1354608,3.2674721,3.0732402,1.9847733,0.5379726,0.2375767,0.1859936,0.032282,6.5699303,2.1699152
21203007: Ward 7,38.3699903,22.0744651,3.3382842,17.3041765,5.0247109,2.6490145,2.6166627,1.5544044,0.2706689,0.1029891,0.0407575,0,6.371898,0.281978
21204001: Ward 1,37.0707732,27.5611488,8.9281479,20.685166,1.6674414,1.1227416,0.5740487,0.3577816,0.1243274,0,0,0,1.9084234,0
21204002: Ward 2,33.2988573,27.6992445,6.9667745,16.9772807,3.2885973,2.7908232,3.2824394,0.9430579,0.1179402,0.0150282,0.0306424,0.0300564,1.8118459,2.747412
21204003: Ward 3,33.9935778,25.7608539,8.6996941,22.2499848,2.4441721,0.8712151,0.7101543,0.3301608,0.0541097,0,0.0166339,0.0190121,2.0392984,2.8111331
21204004: Ward 4,33.6407787,24.4479422,4.9290738,17.9312655,2.7251844,2.5562679,2.4226719,1.2745628,0.5096819,0.1950691,0.1011118,0,2.8155861,6.4508038
21204005: Ward 5,37.7806935,28.4327063,3.9721167,18.7981853,2.9091191,1.5881537,1.2803235,0.537697,0.1876721,0.0157913,0.097272,0.0173206,4.3829491,0
21204006: Ward 6,38.2127185,26.6972847,3.8803443,20.4614285,3.7550422,1.7268185,1.2744577,1.0016155,0.2462159,0.0819398,0.0545074,0.029399,2.578228,0
21204007: Ward 7,44.0225333,31.5216503,3.1842317,15.1481806,1.8439617,0.8770077,0.4169858,0.2323735,0.0622861,0,0,0.0198393,2.6709499,0
21204008: Ward 8,38.2831199,34.1454792,4.3899772,18.3524503,1.5681332,0.6319731,0.4120659,0.1601357,0.0886307,0,0,0,1.5904749,0.3775598
21204009: Ward 9,37.7710934,29.1006255,3.4576645,20.9798485,1.9023312,1.5909877,1.0347152,0.7727696,0.1254591,0.035991,0,0,3.2285143,0
21204010: Ward 10,39.0910565,23.2546127,5.4082741,19.005283,1.9802419,1.913291,1.6123212,0.9794955,0.1816438,0.0462802,0.0236931,0.0225871,1.4024574,5.0787626
21204011: Ward 11,38.2777444,29.8162205,4.8443543,21.8945928,1.8332649,1.1539265,0.475032,0.1803116,0.1580453,0,0,0,1.3665077,0
21204012: Ward 12,36.1289532,34.6428843,4.2293684,18.2376107,2.6393909,0.5716576,0.7757129,0.4751925,0.0752289,0.0147823,0.0768525,0,2.1323658,0
21204013: Ward 13,37.5087012,30.2472784,3.5502911,23.7890728,0.8649998,0.6241518,0.8471452,0.4165591,0.1043849,0.0727118,0.0588811,0,1.9158228,0
21204014: Ward 14,41.112883,27.2001083,3.2832711,19.4820444,1.575575,1.18194,0.9981131,0.7123023,0.1928865,0.0520598,0,0.0520598,2.8868394,1.2699172
