Summation Options,Geography,Highest educational level,Count
Person weighted,10101002: Ward 2,Grade 12 / Std 10 / Form 5,13.2324576
Person weighted,10101002: Ward 2,NTC I / N1/ NIC/ V Level 2,0.143054
Person weighted,10101002: Ward 2,NTC II / N2/ NIC/ V Level 3,0.1088366
Person weighted,10101002: Ward 2,NTC III /N3/ NIC/ V Level 4,0.2708605
Person weighted,10101002: Ward 2,N4 / NTC 4,0.0849733
Person weighted,10101002: Ward 2,N5 /NTC 5,0.0789086
Person weighted,10101002: Ward 2,N6 / NTC 6,0.3206855
Person weighted,10101002: Ward 2,Certificate with less than Grade 12 / Std 10,0.0419776
Person weighted,10101002: Ward 2,Diploma with less than Grade 12 / Std 10,0.0617835
Person weighted,10101002: Ward 2,Certificate with Grade 12 / Std 10,0.4515906
Person weighted,10101002: Ward 2,Diploma with Grade 12 / Std 10,1.514222
Person weighted,10101002: Ward 2,Higher Diploma,1.5711829
Person weighted,10101002: Ward 2,Post Higher Diploma Masters; Doctoral Diploma,0.1961716
Person weighted,10101002: Ward 2,Bachelors Degree,0.9389421
Person weighted,10101002: Ward 2,Bachelors Degree and Post graduate Diploma,0.3056379
Person weighted,10101002: Ward 2,Honours degree,0.2122081
Person weighted,10101002: Ward 2,Higher Degree Masters / PhD,0.0741691
Person weighted,10101002: Ward 2,Other,0.2168673
Person weighted,10101002: Ward 2,No schooling,3.5439929
Person weighted,10101002: Ward 2,Unspecified,0
Person weighted,10101002: Ward 2,Not applicable,13.4959568
Person weighted,10101002: Ward 2,Total,100
Person weighted,10101003: Ward 3,Gade 0,3.7955197
Person weighted,10101003: Ward 3,Grade 1 / Sub A,3.4676231
Person weighted,10101003: Ward 3,Grade 2 / Sub B,3.3763203
Person weighted,10101003: Ward 3,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.646286
Person weighted,10101003: Ward 3,Grade 4 / Std 2,3.8115258
Person weighted,10101003: Ward 3,Grade 5 / Std 3/ABET 2,4.0313503
Person weighted,10101003: Ward 3,Grade 6 / Std 4,4.8775323
Person weighted,10101003: Ward 3,Grade 7 / Std 5/ ABET 3,7.7991448
Person weighted,10101003: Ward 3,Grade 8 / Std 6 / Form 1,9.5368158
Person weighted,10101003: Ward 3,Grade 9 / Std 7 / Form 2/ ABET 4,8.5153198
Person weighted,10101003: Ward 3,Grade 10 / Std 8 / Form 3,8.8754716
Person weighted,10101003: Ward 3,Grade 11 / Std 9 / Form 4,5.8513736
Person weighted,10101003: Ward 3,Grade 12 / Std 10 / Form 5,11.9984687
Person weighted,10101003: Ward 3,NTC I / N1/ NIC/ V Level 2,0.1211838
Person weighted,10101003: Ward 3,NTC II / N2/ NIC/ V Level 3,0.1211116
Person weighted,10101003: Ward 3,NTC III /N3/ NIC/ V Level 4,0.3683391
Person weighted,10101003: Ward 3,N4 / NTC 4,0.0172947
Person weighted,10101003: Ward 3,N5 /NTC 5,0.1048947
Person weighted,10101003: Ward 3,N6 / NTC 6,0.0950026
Person weighted,10101003: Ward 3,Certificate with less than Grade 12 / Std 10,0.034547
Person weighted,10101003: Ward 3,Diploma with less than Grade 12 / Std 10,0.1268977
Person weighted,10101003: Ward 3,Certificate with Grade 12 / Std 10,0.1239705
Person weighted,10101003: Ward 3,Diploma with Grade 12 / Std 10,0.8152571
Person weighted,10101003: Ward 3,Higher Diploma,0.4950426
Person weighted,10101003: Ward 3,Post Higher Diploma Masters; Doctoral Diploma,0
Person weighted,10101003: Ward 3,Bachelors Degree,0.4015261
Person weighted,10101003: Ward 3,Bachelors Degree and Post graduate Diploma,0.1625361
