Summation Options,Geography,Highest educational level,Count
Person weighted,10202002: Ward 2,NTC I / N1/ NIC/ V Level 2,0.0561826
Person weighted,10202002: Ward 2,NTC II / N2/ NIC/ V Level 3,0.0500118
Person weighted,10202002: Ward 2,NTC III /N3/ NIC/ V Level 4,0.0498755
Person weighted,10202002: Ward 2,N4 / NTC 4,0.0309741
Person weighted,10202002: Ward 2,N5 /NTC 5,0.0809859
Person weighted,10202002: Ward 2,N6 / NTC 6,0.250059
Person weighted,10202002: Ward 2,Certificate with less than Grade 12 / Std 10,0.0492794
Person weighted,10202002: Ward 2,Diploma with less than Grade 12 / Std 10,0.11196
Person weighted,10202002: Ward 2,Certificate with Grade 12 / Std 10,0.354272
Person weighted,10202002: Ward 2,Diploma with Grade 12 / Std 10,1.0455789
Person weighted,10202002: Ward 2,Higher Diploma,1.0205038
Person weighted,10202002: Ward 2,Post Higher Diploma Masters; Doctoral Diploma,0.0619482
Person weighted,10202002: Ward 2,Bachelors Degree,1.0053736
Person weighted,10202002: Ward 2,Bachelors Degree and Post graduate Diploma,0.1314615
Person weighted,10202002: Ward 2,Honours degree,0.4336373
Person weighted,10202002: Ward 2,Higher Degree Masters / PhD,0.2358563
Person weighted,10202002: Ward 2,Other,0.0567042
Person weighted,10202002: Ward 2,No schooling,4.4011096
Person weighted,10202002: Ward 2,Unspecified,0
Person weighted,10202002: Ward 2,Not applicable,9.5561189
Person weighted,10202002: Ward 2,Total,100
Person weighted,10202003: Ward 3,Gade 0,2.7889359
Person weighted,10202003: Ward 3,Grade 1 / Sub A,2.6225401
Person weighted,10202003: Ward 3,Grade 2 / Sub B,2.5792172
Person weighted,10202003: Ward 3,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.2647561
Person weighted,10202003: Ward 3,Grade 4 / Std 2,4.3935986
Person weighted,10202003: Ward 3,Grade 5 / Std 3/ABET 2,4.4577012
Person weighted,10202003: Ward 3,Grade 6 / Std 4,5.5416667
Person weighted,10202003: Ward 3,Grade 7 / Std 5/ ABET 3,6.1088585
Person weighted,10202003: Ward 3,Grade 8 / Std 6 / Form 1,8.1921805
Person weighted,10202003: Ward 3,Grade 9 / Std 7 / Form 2/ ABET 4,5.9325295
Person weighted,10202003: Ward 3,Grade 10 / Std 8 / Form 3,7.8717471
Person weighted,10202003: Ward 3,Grade 11 / Std 9 / Form 4,4.1037466
Person weighted,10202003: Ward 3,Grade 12 / Std 10 / Form 5,16.1557442
Person weighted,10202003: Ward 3,NTC I / N1/ NIC/ V Level 2,0.234254
Person weighted,10202003: Ward 3,NTC II / N2/ NIC/ V Level 3,0.1521627
Person weighted,10202003: Ward 3,NTC III /N3/ NIC/ V Level 4,0.2397599
Person weighted,10202003: Ward 3,N4 / NTC 4,0.1431989
Person weighted,10202003: Ward 3,N5 /NTC 5,0.1528659
Person weighted,10202003: Ward 3,N6 / NTC 6,0.2198801
Person weighted,10202003: Ward 3,Certificate with less than Grade 12 / Std 10,0.1037081
Person weighted,10202003: Ward 3,Diploma with less than Grade 12 / Std 10,0.3086503
Person weighted,10202003: Ward 3,Certificate with Grade 12 / Std 10,1.0860437
Person weighted,10202003: Ward 3,Diploma with Grade 12 / Std 10,2.0941821
Person weighted,10202003: Ward 3,Higher Diploma,2.4079977
Person weighted,10202003: Ward 3,Post Higher Diploma Masters; Doctoral Diploma,0.3222373
Person weighted,10202003: Ward 3,Bachelors Degree,1.0700613
Person weighted,10202003: Ward 3,Bachelors Degree and Post graduate Diploma,0.5967088
Person weighted,10202003: Ward 3,Honours degree,0.5903447
Person weighted,10202003: Ward 3,Higher Degree Masters / PhD,0.3328003
Person weighted,10202003: Ward 3,Other,0.1534623
Person weighted,10202003: Ward 3,No schooling,3.3066008
Person weighted,10202003: Ward 3,Unspecified,0
Person weighted,10202003: Ward 3,Not applicable,12.4718588
Person weighted,10202003: Ward 3,Total,100
Person weighted,10202004: Ward 4,Gade 0,3.4593801
Person weighted,10202004: Ward 4,Grade 1 / Sub A,2.6450952
Person weighted,10202004: Ward 4,Grade 2 / Sub B,2.8406971
Person weighted,10202004: Ward 4,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,2.9805913
Person weighted,10202004: Ward 4,Grade 4 / Std 2,3.7790825
Person weighted,10202004: Ward 4,Grade 5 / Std 3/ABET 2,4.144791
Person weighted,10202004: Ward 4,Grade 6 / Std 4,4.859297
Person weighted,10202004: Ward 4,Grade 7 / Std 5/ ABET 3,7.2982244
Person weighted,10202004: Ward 4,Grade 8 / Std 6 / Form 1,9.1069925
Person weighted,10202004: Ward 4,Grade 9 / Std 7 / Form 2/ ABET 4,7.2395149
Person weighted,10202004: Ward 4,Grade 10 / Std 8 / Form 3,9.4238515
Person weighted,10202004: Ward 4,Grade 11 / Std 9 / Form 4,5.3135787
Person weighted,10202004: Ward 4,Grade 12 / Std 10 / Form 5,17.7737086
Person weighted,10202004: Ward 4,NTC I / N1/ NIC/ V Level 2,0.0759345
Person weighted,10202004: Ward 4,NTC II / N2/ NIC/ V Level 3,0.0160821
Person weighted,10202004: Ward 4,NTC III /N3/ NIC/ V Level 4,0.081586
Person weighted,10202004: Ward 4,N4 / NTC 4,0.1960755
Person weighted,10202004: Ward 4,N5 /NTC 5,0.112348
Person weighted,10202004: Ward 4,N6 / NTC 6,0.1874004
Person weighted,10202004: Ward 4,Certificate with less than Grade 12 / Std 10,0.0329479
Person weighted,10202004: Ward 4,Diploma with less than Grade 12 / Std 10,0.211085
Person weighted,10202004: Ward 4,Certificate with Grade 12 / Std 10,0.3821573
Person weighted,10202004: Ward 4,Diploma with Grade 12 / Std 10,1.3765092
Person weighted,10202004: Ward 4,Higher Diploma,1.2482853
Person weighted,10202004: Ward 4,Post Higher Diploma Masters; Doctoral Diploma,0.1566278
Person weighted,10202004: Ward 4,Bachelors Degree,0.7871201
Person weighted,10202004: Ward 4,Bachelors Degree and Post graduate Diploma,0.250675
Person weighted,10202004: Ward 4,Honours degree,0.4214712
Person weighted,10202004: Ward 4,Higher Degree Masters / PhD,0.4091805
Person weighted,10202004: Ward 4,Other,0.2608582
Person weighted,10202004: Ward 4,No schooling,4.8168049
Person weighted,10202004: Ward 4,Unspecified,0
Person weighted,10202004: Ward 4,Not applicable,8.1120465
Person weighted,10202004: Ward 4,Total,100
Person weighted,10202005: Ward 5,Gade 0,2.8271583
Person weighted,10202005: Ward 5,Grade 1 / Sub A,2.8485609
Person weighted,10202005: Ward 5,Grade 2 / Sub B,2.6779165
Person weighted,10202005: Ward 5,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.3024318
Person weighted,10202005: Ward 5,Grade 4 / Std 2,4.4500102
Person weighted,10202005: Ward 5,Grade 5 / Std 3/ABET 2,4.4444689
Person weighted,10202005: Ward 5,Grade 6 / Std 4,4.8993058
Person weighted,10202005: Ward 5,Grade 7 / Std 5/ ABET 3,6.6100698
Person weighted,10202005: Ward 5,Grade 8 / Std 6 / Form 1,9.1595134
Person weighted,10202005: Ward 5,Grade 9 / Std 7 / Form 2/ ABET 4,7.0899819
Person weighted,10202005: Ward 5,Grade 10 / Std 8 / Form 3,6.0423483
Person weighted,10202005: Ward 5,Grade 11 / Std 9 / Form 4,4.2128179
Person weighted,10202005: Ward 5,Grade 12 / Std 10 / Form 5,15.5964526
Person weighted,10202005: Ward 5,NTC I / N1/ NIC/ V Level 2,0.0928077
Person weighted,10202005: Ward 5,NTC II / N2/ NIC/ V Level 3,0.1871197
Person weighted,10202005: Ward 5,NTC III /N3/ NIC/ V Level 4,0.3040652
Person weighted,10202005: Ward 5,N4 / NTC 4,0.2582518
Person weighted,10202005: Ward 5,N5 /NTC 5,0.1833855
Person weighted,10202005: Ward 5,N6 / NTC 6,0.3405686
Person weighted,10202005: Ward 5,Certificate with less than Grade 12 / Std 10,0.191881
Person weighted,10202005: Ward 5,Diploma with less than Grade 12 / Std 10,0.3419055
Person weighted,10202005: Ward 5,Certificate with Grade 12 / Std 10,1.2076879
Person weighted,10202005: Ward 5,Diploma with Grade 12 / Std 10,2.5769718
Person weighted,10202005: Ward 5,Higher Diploma,2.0794373
Person weighted,10202005: Ward 5,Post Higher Diploma Masters; Doctoral Diploma,0.254443
Person weighted,10202005: Ward 5,Bachelors Degree,1.1355628
Person weighted,10202005: Ward 5,Bachelors Degree and Post graduate Diploma,0.5223304
Person weighted,10202005: Ward 5,Honours degree,0.6924148
Person weighted,10202005: Ward 5,Higher Degree Masters / PhD,0.1872859
Person weighted,10202005: Ward 5,Other,0.1942825
Person weighted,10202005: Ward 5,No schooling,4.2466922
Person weighted,10202005: Ward 5,Unspecified,0
Person weighted,10202005: Ward 5,Not applicable,10.84187
Person weighted,10202005: Ward 5,Total,100
Person weighted,10202006: Ward 6,Gade 0,3.5101762
Person weighted,10202006: Ward 6,Grade 1 / Sub A,3.1625227
Person weighted,10202006: Ward 6,Grade 2 / Sub B,2.9935103
Person weighted,10202006: Ward 6,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.138129
Person weighted,10202006: Ward 6,Grade 4 / Std 2,3.9072693
Person weighted,10202006: Ward 6,Grade 5 / Std 3/ABET 2,5.2861811
Person weighted,10202006: Ward 6,Grade 6 / Std 4,5.4393032
Person weighted,10202006: Ward 6,Grade 7 / Std 5/ ABET 3,7.9120482
Person weighted,10202006: Ward 6,Grade 8 / Std 6 / Form 1,9.7865063
Person weighted,10202006: Ward 6,Grade 9 / Std 7 / Form 2/ ABET 4,8.2246197
Person weighted,10202006: Ward 6,Grade 10 / Std 8 / Form 3,10.0748229
Person weighted,10202006: Ward 6,Grade 11 / Std 9 / Form 4,6.3322294
Person weighted,10202006: Ward 6,Grade 12 / Std 10 / Form 5,14.313321
Person weighted,10202006: Ward 6,NTC I / N1/ NIC/ V Level 2,0.0857692
Person weighted,10202006: Ward 6,NTC II / N2/ NIC/ V Level 3,0.0429615
Person weighted,10202006: Ward 6,NTC III /N3/ NIC/ V Level 4,0.064627
Person weighted,10202006: Ward 6,N4 / NTC 4,0.1073269
Person weighted,10202006: Ward 6,N5 /NTC 5,0.0527192
Person weighted,10202006: Ward 6,N6 / NTC 6,0.032095
Person weighted,10202006: Ward 6,Certificate with less than Grade 12 / Std 10,0.0214808
Person weighted,10202006: Ward 6,Diploma with less than Grade 12 / Std 10,0.0213842
Person weighted,10202006: Ward 6,Certificate with Grade 12 / Std 10,0.7323145
Person weighted,10202006: Ward 6,Diploma with Grade 12 / Std 10,0.3735998
Person weighted,10202006: Ward 6,Higher Diploma,0.1308517
Person weighted,10202006: Ward 6,Post Higher Diploma Masters; Doctoral Diploma,0.0537019
Person weighted,10202006: Ward 6,Bachelors Degree,0.2752795
Person weighted,10202006: Ward 6,Bachelors Degree and Post graduate Diploma,0.0552422
Person weighted,10202006: Ward 6,Honours degree,0.032648
Person weighted,10202006: Ward 6,Higher Degree Masters / PhD,0.1188717
Person weighted,10202006: Ward 6,Other,0.1835069
Person weighted,10202006: Ward 6,No schooling,3.6442203
Person weighted,10202006: Ward 6,Unspecified,0
Person weighted,10202006: Ward 6,Not applicable,9.8907604
Person weighted,10202006: Ward 6,Total,100
Person weighted,10202007: Ward 7,Gade 0,3.3559059
Person weighted,10202007: Ward 7,Grade 1 / Sub A,3.2593006
Person weighted,10202007: Ward 7,Grade 2 / Sub B,3.0304841
Person weighted,10202007: Ward 7,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.3744657
Person weighted,10202007: Ward 7,Grade 4 / Std 2,4.4919032
Person weighted,10202007: Ward 7,Grade 5 / Std 3/ABET 2,4.6544411
Person weighted,10202007: Ward 7,Grade 6 / Std 4,5.2474175
Person weighted,10202007: Ward 7,Grade 7 / Std 5/ ABET 3,7.4265391
Person weighted,10202007: Ward 7,Grade 8 / Std 6 / Form 1,10.4765649
Person weighted,10202007: Ward 7,Grade 9 / Std 7 / Form 2/ ABET 4,7.8370879
Person weighted,10202007: Ward 7,Grade 10 / Std 8 / Form 3,8.6841645
Person weighted,10202007: Ward 7,Grade 11 / Std 9 / Form 4,4.4963376
Person weighted,10202007: Ward 7,Grade 12 / Std 10 / Form 5,13.2720528
Person weighted,10202007: Ward 7,NTC I / N1/ NIC/ V Level 2,0.076373
Person weighted,10202007: Ward 7,NTC II / N2/ NIC/ V Level 3,0.0600326
Person weighted,10202007: Ward 7,NTC III /N3/ NIC/ V Level 4,0.1200611
Person weighted,10202007: Ward 7,N4 / NTC 4,0.1121862
Person weighted,10202007: Ward 7,N5 /NTC 5,0.1512124
Person weighted,10202007: Ward 7,N6 / NTC 6,0.1237457
Person weighted,10202007: Ward 7,Certificate with less than Grade 12 / Std 10,0.0240784
Person weighted,10202007: Ward 7,Diploma with less than Grade 12 / Std 10,0.0495976
Person weighted,10202007: Ward 7,Certificate with Grade 12 / Std 10,0.4390004
Person weighted,10202007: Ward 7,Diploma with Grade 12 / Std 10,1.152361
Person weighted,10202007: Ward 7,Higher Diploma,0.7669918
Person weighted,10202007: Ward 7,Post Higher Diploma Masters; Doctoral Diploma,0.0710765
Person weighted,10202007: Ward 7,Bachelors Degree,0.3043096
Person weighted,10202007: Ward 7,Bachelors Degree and Post graduate Diploma,0.0793195
Person weighted,10202007: Ward 7,Honours degree,0.2299635
Person weighted,10202007: Ward 7,Higher Degree Masters / PhD,0.1095214
Person weighted,10202007: Ward 7,Other,0.1205018
Person weighted,10202007: Ward 7,No schooling,4.8269746
Person weighted,10202007: Ward 7,Unspecified,0
Person weighted,10202007: Ward 7,Not applicable,11.5760282
Person weighted,10202007: Ward 7,Total,100
Person weighted,10202008: Ward 8,Gade 0,1.9413601
Person weighted,10202008: Ward 8,Grade 1 / Sub A,2.5445011
Person weighted,10202008: Ward 8,Grade 2 / Sub B,1.9602083
Person weighted,10202008: Ward 8,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,2.8460716
Person weighted,10202008: Ward 8,Grade 4 / Std 2,3.9958091
Person weighted,10202008: Ward 8,Grade 5 / Std 3/ABET 2,4.7497354
Person weighted,10202008: Ward 8,Grade 6 / Std 4,6.9738178
Person weighted,10202008: Ward 8,Grade 7 / Std 5/ ABET 3,8.7832408
Person weighted,10202008: Ward 8,Grade 8 / Std 6 / Form 1,10.1403081
Person weighted,10202008: Ward 8,Grade 9 / Std 7 / Form 2/ ABET 4,12.2513016
Person weighted,10202008: Ward 8,Grade 10 / Std 8 / Form 3,10.2910933
Person weighted,10202008: Ward 8,Grade 11 / Std 9 / Form 4,7.9727701
Person weighted,10202008: Ward 8,Grade 12 / Std 10 / Form 5,10.8188417
Person weighted,10202008: Ward 8,NTC I / N1/ NIC/ V Level 2,0.1696334
Person weighted,10202008: Ward 8,NTC II / N2/ NIC/ V Level 3,0.0188482
Person weighted,10202008: Ward 8,NTC III /N3/ NIC/ V Level 4,0.0376963
Person weighted,10202008: Ward 8,N4 / NTC 4,0.0565445
Person weighted,10202008: Ward 8,N5 /NTC 5,0.0188482
Person weighted,10202008: Ward 8,N6 / NTC 6,0.0376963
Person weighted,10202008: Ward 8,Certificate with less than Grade 12 / Std 10,0
Person weighted,10202008: Ward 8,Diploma with less than Grade 12 / Std 10,0.0188482
Person weighted,10202008: Ward 8,Certificate with Grade 12 / Std 10,0.1319371
Person weighted,10202008: Ward 8,Diploma with Grade 12 / Std 10,0.2638742
Person weighted,10202008: Ward 8,Higher Diploma,0.5654447
Person weighted,10202008: Ward 8,Post Higher Diploma Masters; Doctoral Diploma,0
Person weighted,10202008: Ward 8,Bachelors Degree,0.3015705
Person weighted,10202008: Ward 8,Bachelors Degree and Post graduate Diploma,0.0376963
Person weighted,10202008: Ward 8,Honours degree,0.0753926
Person weighted,10202008: Ward 8,Higher Degree Masters / PhD,0
Person weighted,10202008: Ward 8,Other,0.0565445
Person weighted,10202008: Ward 8,No schooling,6.2575879
Person weighted,10202008: Ward 8,Unspecified,0
Person weighted,10202008: Ward 8,Not applicable,6.6827781
Person weighted,10202008: Ward 8,Total,100
Person weighted,10202009: Ward 9,Gade 0,2.0242502
Person weighted,10202009: Ward 9,Grade 1 / Sub A,2.6035264
Person weighted,10202009: Ward 9,Grade 2 / Sub B,2.5919045
Person weighted,10202009: Ward 9,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.1828934
Person weighted,10202009: Ward 9,Grade 4 / Std 2,3.8405621
Person weighted,10202009: Ward 9,Grade 5 / Std 3/ABET 2,4.5127449
Person weighted,10202009: Ward 9,Grade 6 / Std 4,6.4579904
Person weighted,10202009: Ward 9,Grade 7 / Std 5/ ABET 3,9.0261377
Person weighted,10202009: Ward 9,Grade 8 / Std 6 / Form 1,9.2292055
Person weighted,10202009: Ward 9,Grade 9 / Std 7 / Form 2/ ABET 4,10.0440823
Person weighted,10202009: Ward 9,Grade 10 / Std 8 / Form 3,10.0285836
Person weighted,10202009: Ward 9,Grade 11 / Std 9 / Form 4,7.8673435
Person weighted,10202009: Ward 9,Grade 12 / Std 10 / Form 5,9.885568
Person weighted,10202009: Ward 9,NTC I / N1/ NIC/ V Level 2,0.0376705
Person weighted,10202009: Ward 9,NTC II / N2/ NIC/ V Level 3,0.0234356
Person weighted,10202009: Ward 9,NTC III /N3/ NIC/ V Level 4,0.0188352
Person weighted,10202009: Ward 9,N4 / NTC 4,0.0376705
Person weighted,10202009: Ward 9,N5 /NTC 5,0.0188352
Person weighted,10202009: Ward 9,N6 / NTC 6,0
Person weighted,10202009: Ward 9,Certificate with less than Grade 12 / Std 10,0.0188352
Person weighted,10202009: Ward 9,Diploma with less than Grade 12 / Std 10,0.0680825
Person weighted,10202009: Ward 9,Certificate with Grade 12 / Std 10,0.0123909
Person weighted,10202009: Ward 9,Diploma with Grade 12 / Std 10,0.7771934
Person weighted,10202009: Ward 9,Higher Diploma,0.9593564
Person weighted,10202009: Ward 9,Post Higher Diploma Masters; Doctoral Diploma,0.0495293
Person weighted,10202009: Ward 9,Bachelors Degree,0.3401629
Person weighted,10202009: Ward 9,Bachelors Degree and Post graduate Diploma,0.2092759
Person weighted,10202009: Ward 9,Honours degree,0.3904738
Person weighted,10202009: Ward 9,Higher Degree Masters / PhD,0.2941054
Person weighted,10202009: Ward 9,Other,0.075341
Person weighted,10202009: Ward 9,No schooling,6.370903
Person weighted,10202009: Ward 9,Unspecified,0
Person weighted,10202009: Ward 9,Not applicable,9.0031107
Person weighted,10202009: Ward 9,Total,100
Person weighted,10202010: Ward 10,Gade 0,2.332048
Person weighted,10202010: Ward 10,Grade 1 / Sub A,3.3214092
Person weighted,10202010: Ward 10,Grade 2 / Sub B,3.3233765
Person weighted,10202010: Ward 10,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.6622816
Person weighted,10202010: Ward 10,Grade 4 / Std 2,5.598982
Person weighted,10202010: Ward 10,Grade 5 / Std 3/ABET 2,5.3650185
Person weighted,10202010: Ward 10,Grade 6 / Std 4,7.3605671
Person weighted,10202010: Ward 10,Grade 7 / Std 5/ ABET 3,10.1457671
Person weighted,10202010: Ward 10,Grade 8 / Std 6 / Form 1,10.3756659
Person weighted,10202010: Ward 10,Grade 9 / Std 7 / Form 2/ ABET 4,9.4662329
Person weighted,10202010: Ward 10,Grade 10 / Std 8 / Form 3,7.5203337
Person weighted,10202010: Ward 10,Grade 11 / Std 9 / Form 4,5.7854746
Person weighted,10202010: Ward 10,Grade 12 / Std 10 / Form 5,7.839265
Person weighted,10202010: Ward 10,NTC I / N1/ NIC/ V Level 2,0.0874514
Person weighted,10202010: Ward 10,NTC II / N2/ NIC/ V Level 3,0.0951844
Person weighted,10202010: Ward 10,NTC III /N3/ NIC/ V Level 4,0.0380738
Person weighted,10202010: Ward 10,N4 / NTC 4,0
Person weighted,10202010: Ward 10,N5 /NTC 5,0.0190369
Person weighted,10202010: Ward 10,N6 / NTC 6,0
Person weighted,10202010: Ward 10,Certificate with less than Grade 12 / Std 10,0.0190369
Person weighted,10202010: Ward 10,Diploma with less than Grade 12 / Std 10,0.0190369
Person weighted,10202010: Ward 10,Certificate with Grade 12 / Std 10,0
Person weighted,10202010: Ward 10,Diploma with Grade 12 / Std 10,0.171332
Person weighted,10202010: Ward 10,Higher Diploma,0.1830327
Person weighted,10202010: Ward 10,Post Higher Diploma Masters; Doctoral Diploma,0.0380738
Person weighted,10202010: Ward 10,Bachelors Degree,0.171332
Person weighted,10202010: Ward 10,Bachelors Degree and Post graduate Diploma,0
Person weighted,10202010: Ward 10,Honours degree,0.0190369
Person weighted,10202010: Ward 10,Higher Degree Masters / PhD,0.0190369
Person weighted,10202010: Ward 10,Other,0.0380738
Person weighted,10202010: Ward 10,No schooling,7.2936549
Person weighted,10202010: Ward 10,Unspecified,0
Person weighted,10202010: Ward 10,Not applicable,9.6921848
Person weighted,10202010: Ward 10,Total,100
Person weighted,10202011: Ward 11,Gade 0,2.379759
Person weighted,10202011: Ward 11,Grade 1 / Sub A,3.4949602
Person weighted,10202011: Ward 11,Grade 2 / Sub B,2.8520068
Person weighted,10202011: Ward 11,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.0162273
Person weighted,10202011: Ward 11,Grade 4 / Std 2,4.3936411
Person weighted,10202011: Ward 11,Grade 5 / Std 3/ABET 2,4.7775313
Person weighted,10202011: Ward 11,Grade 6 / Std 4,5.5776572
Person weighted,10202011: Ward 11,Grade 7 / Std 5/ ABET 3,7.9543288
Person weighted,10202011: Ward 11,Grade 8 / Std 6 / Form 1,10.2602356
Person weighted,10202011: Ward 11,Grade 9 / Std 7 / Form 2/ ABET 4,7.3323561
Person weighted,10202011: Ward 11,Grade 10 / Std 8 / Form 3,8.0943431
Person weighted,10202011: Ward 11,Grade 11 / Std 9 / Form 4,4.9144551
Person weighted,10202011: Ward 11,Grade 12 / Std 10 / Form 5,12.0811571
Person weighted,10202011: Ward 11,NTC I / N1/ NIC/ V Level 2,0.0668913
Person weighted,10202011: Ward 11,NTC II / N2/ NIC/ V Level 3,0.0450367
Person weighted,10202011: Ward 11,NTC III /N3/ NIC/ V Level 4,0.1151858
Person weighted,10202011: Ward 11,N4 / NTC 4,0.0640662
Person weighted,10202011: Ward 11,N5 /NTC 5,0.0192641
Person weighted,10202011: Ward 11,N6 / NTC 6,0.0727702
Person weighted,10202011: Ward 11,Certificate with less than Grade 12 / Std 10,0.018807
Person weighted,10202011: Ward 11,Diploma with less than Grade 12 / Std 10,0.1145612
Person weighted,10202011: Ward 11,Certificate with Grade 12 / Std 10,0.2650333
Person weighted,10202011: Ward 11,Diploma with Grade 12 / Std 10,0.9876376
Person weighted,10202011: Ward 11,Higher Diploma,0.6216522
Person weighted,10202011: Ward 11,Post Higher Diploma Masters; Doctoral Diploma,0.1182414
Person weighted,10202011: Ward 11,Bachelors Degree,0.679727
Person weighted,10202011: Ward 11,Bachelors Degree and Post graduate Diploma,0.2286126
Person weighted,10202011: Ward 11,Honours degree,0.2151155
Person weighted,10202011: Ward 11,Higher Degree Masters / PhD,0.1838488
Person weighted,10202011: Ward 11,Other,0.1557915
Person weighted,10202011: Ward 11,No schooling,5.1389036
Person weighted,10202011: Ward 11,Unspecified,0
Person weighted,10202011: Ward 11,Not applicable,13.7601952
Person weighted,10202011: Ward 11,Total,100
Person weighted,10202012: Ward 12,Gade 0,3.0457447
Person weighted,10202012: Ward 12,Grade 1 / Sub A,2.4647565
Person weighted,10202012: Ward 12,Grade 2 / Sub B,2.4603327
Person weighted,10202012: Ward 12,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.4576641
Person weighted,10202012: Ward 12,Grade 4 / Std 2,4.1679262
Person weighted,10202012: Ward 12,Grade 5 / Std 3/ABET 2,4.5929791
Person weighted,10202012: Ward 12,Grade 6 / Std 4,6.4846106
Person weighted,10202012: Ward 12,Grade 7 / Std 5/ ABET 3,7.6248121
Person weighted,10202012: Ward 12,Grade 8 / Std 6 / Form 1,9.6077148
Person weighted,10202012: Ward 12,Grade 9 / Std 7 / Form 2/ ABET 4,8.8919295
Person weighted,10202012: Ward 12,Grade 10 / Std 8 / Form 3,6.8775272
Person weighted,10202012: Ward 12,Grade 11 / Std 9 / Form 4,7.2841707
Person weighted,10202012: Ward 12,Grade 12 / Std 10 / Form 5,9.2250424
Person weighted,10202012: Ward 12,NTC I / N1/ NIC/ V Level 2,0.0350336
Person weighted,10202012: Ward 12,NTC II / N2/ NIC/ V Level 3,0.1216748
Person weighted,10202012: Ward 12,NTC III /N3/ NIC/ V Level 4,0.0216975
Person weighted,10202012: Ward 12,N4 / NTC 4,0.032971
Person weighted,10202012: Ward 12,N5 /NTC 5,0.0259594
Person weighted,10202012: Ward 12,N6 / NTC 6,0.0705346
Person weighted,10202012: Ward 12,Certificate with less than Grade 12 / Std 10,0.0384129
Person weighted,10202012: Ward 12,Diploma with less than Grade 12 / Std 10,0.0650926
Person weighted,10202012: Ward 12,Certificate with Grade 12 / Std 10,0.2321952
Person weighted,10202012: Ward 12,Diploma with Grade 12 / Std 10,0.387865
Person weighted,10202012: Ward 12,Higher Diploma,0.2980182
Person weighted,10202012: Ward 12,Post Higher Diploma Masters; Doctoral Diploma,0.0867902
Person weighted,10202012: Ward 12,Bachelors Degree,0.1340322
Person weighted,10202012: Ward 12,Bachelors Degree and Post graduate Diploma,0.0861244
Person weighted,10202012: Ward 12,Honours degree,0.0712998
Person weighted,10202012: Ward 12,Higher Degree Masters / PhD,0
Person weighted,10202012: Ward 12,Other,0.3604932
Person weighted,10202012: Ward 12,No schooling,5.8921271
Person weighted,10202012: Ward 12,Unspecified,0
Person weighted,10202012: Ward 12,Not applicable,15.8544677
Person weighted,10202012: Ward 12,Total,100
Person weighted,10203001: Ward 1,Gade 0,3.1349664
Person weighted,10203001: Ward 1,Grade 1 / Sub A,3.0382081
Person weighted,10203001: Ward 1,Grade 2 / Sub B,3.3284828
Person weighted,10203001: Ward 1,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.9864387
Person weighted,10203001: Ward 1,Grade 4 / Std 2,4.6830979
Person weighted,10203001: Ward 1,Grade 5 / Std 3/ABET 2,4.7218012
Person weighted,10203001: Ward 1,Grade 6 / Std 4,5.8828998
Person weighted,10203001: Ward 1,Grade 7 / Std 5/ ABET 3,7.4310314
Person weighted,10203001: Ward 1,Grade 8 / Std 6 / Form 1,10.7401625
Person weighted,10203001: Ward 1,Grade 9 / Std 7 / Form 2/ ABET 4,7.5858445
Person weighted,10203001: Ward 1,Grade 10 / Std 8 / Form 3,7.5277896
Person weighted,10203001: Ward 1,Grade 11 / Std 9 / Form 4,4.5089331
Person weighted,10203001: Ward 1,Grade 12 / Std 10 / Form 5,10.9723822
Person weighted,10203001: Ward 1,NTC I / N1/ NIC/ V Level 2,0.0774066
Person weighted,10203001: Ward 1,NTC II / N2/ NIC/ V Level 3,0.0774066
Person weighted,10203001: Ward 1,NTC III /N3/ NIC/ V Level 4,0.0580549
Person weighted,10203001: Ward 1,N4 / NTC 4,0.0387033
Person weighted,10203001: Ward 1,N5 /NTC 5,0.0193516
Person weighted,10203001: Ward 1,N6 / NTC 6,0.1935164
Person weighted,10203001: Ward 1,Certificate with less than Grade 12 / Std 10,0
Person weighted,10203001: Ward 1,Diploma with less than Grade 12 / Std 10,0.0967582
Person weighted,10203001: Ward 1,Certificate with Grade 12 / Std 10,0.4837911
Person weighted,10203001: Ward 1,Diploma with Grade 12 / Std 10,1.2385052
Person weighted,10203001: Ward 1,Higher Diploma,0.9869339
Person weighted,10203001: Ward 1,Post Higher Diploma Masters; Doctoral Diploma,0.270923
Person weighted,10203001: Ward 1,Bachelors Degree,1.0836921
Person weighted,10203001: Ward 1,Bachelors Degree and Post graduate Diploma,0.870824
Person weighted,10203001: Ward 1,Honours degree,0.6386043
